0-1 , PLN/MWh , 111.57 , MWh , 3 465.80 , 
22-23 , PLN/MWh , 146.90 , MWh , 3 305.80 , 
23-24 , PLN/MWh , 138.64 , MWh , 3 116.20 , 
0-1 , PLN/MWh , 136.89 , MWh , 1 868.20 , 
1-2 , PLN/MWh , 132.72 , MWh , 1 555.00 , 
2-3 , PLN/MWh , 130.90 , MWh , 1 400.90 , 
3-4 , PLN/MWh , 131.18 , MWh , 1 390.20 , 
4-5 , PLN/MWh , 128.86 , MWh , 1 479.80 , 
5-6 , PLN/MWh , 134.55 , MWh , 1 406.00 , 
6-7 , PLN/MWh , 147.24 , MWh , 2 444.20 , 
7-8 , PLN/MWh , 173.05 , MWh , 2 422.40 , 
8-9 , PLN/MWh , 174.51 , MWh , 2 923.00 , 
9-10 , PLN/MWh , 176.09 , MWh , 3 117.40 , 
10-11 , PLN/MWh , 179.30 , MWh , 2 968.50 , 
11-12 , PLN/MWh , 178.23 , MWh , 3 065.80 , 
12-13 , PLN/MWh , 178.32 , MWh , 3 137.10 , 
13-14 , PLN/MWh , 178.66 , MWh , 3 027.70 , 
14-15 , PLN/MWh , 169.77 , MWh , 2 657.40 , 
15-16 , PLN/MWh , 164.35 , MWh , 2 545.60 , 
16-17 , PLN/MWh , 160.47 , MWh , 2 551.70 , 
17-18 , PLN/MWh , 156.95 , MWh , 2 529.40 , 
18-19 , PLN/MWh , 160.85 , MWh , 2 577.60 , 
19-20 , PLN/MWh , 165.17 , MWh , 2 731.20 , 
20-21 , PLN/MWh , 164.26 , MWh , 2 960.10 , 
21-22 , PLN/MWh , 159.96 , MWh , 3 031.10 , 
22-23 , PLN/MWh , 146.73 , MWh , 3 342.90 , 
23-24 , PLN/MWh , 131.34 , MWh , 3 004.20 , 
0-1 , PLN/MWh , 132.08 , MWh , 1 353.90 , 
1-2 , PLN/MWh , 126.24 , MWh , 1 307.20 , 
2-3 , PLN/MWh , 121.51 , MWh , 1 332.60 , 
3-4 , PLN/MWh , 119.93 , MWh , 1 283.20 , 
4-5 , PLN/MWh , 116.72 , MWh , 1 416.30 , 
5-6 , PLN/MWh , 129.01 , MWh , 1 429.40 , 
6-7 , PLN/MWh , 147.59 , MWh , 2 368.60 , 
7-8 , PLN/MWh , 168.52 , MWh , 2 027.70 , 
8-9 , PLN/MWh , 177.49 , MWh , 2 714.60 , 
9-10 , PLN/MWh , 177.53 , MWh , 2 721.50 , 
10-11 , PLN/MWh , 175.85 , MWh , 2 803.40 , 
11-12 , PLN/MWh , 176.69 , MWh , 2 811.10 , 
12-13 , PLN/MWh , 177.43 , MWh , 2 747.10 , 
13-14 , PLN/MWh , 175.71 , MWh , 2 756.60 , 
14-15 , PLN/MWh , 171.97 , MWh , 2 530.40 , 
15-16 , PLN/MWh , 167.12 , MWh , 2 590.20 , 
16-17 , PLN/MWh , 159.78 , MWh , 2 370.40 , 
17-18 , PLN/MWh , 154.49 , MWh , 2 431.10 , 
18-19 , PLN/MWh , 156.43 , MWh , 2 183.70 , 
19-20 , PLN/MWh , 154.23 , MWh , 2 209.10 , 
20-21 , PLN/MWh , 155.68 , MWh , 2 811.80 , 
21-22 , PLN/MWh , 158.67 , MWh , 3 038.40 , 
22-23 , PLN/MWh , 142.95 , MWh , 3 452.30 , 
23-24 , PLN/MWh , 128.60 , MWh , 2 941.00 , 
0-1 , PLN/MWh , 134.31 , MWh , 1 664.50 , 
1-2 , PLN/MWh , 132.60 , MWh , 1 781.40 , 
2-3 , PLN/MWh , 131.96 , MWh , 1 788.20 , 
3-4 , PLN/MWh , 130.95 , MWh , 1 915.10 , 
4-5 , PLN/MWh , 128.97 , MWh , 1 995.20 , 
5-6 , PLN/MWh , 129.30 , MWh , 2 083.50 , 
6-7 , PLN/MWh , 140.93 , MWh , 1 990.80 , 
7-8 , PLN/MWh , 151.36 , MWh , 2 885.00 , 
8-9 , PLN/MWh , 164.26 , MWh , 3 727.80 , 
9-10 , PLN/MWh , 206.80 , MWh , 4 220.60 , 
10-11 , PLN/MWh , 187.85 , MWh , 4 230.60 , 
11-12 , PLN/MWh , 196.30 , MWh , 4 325.10 , 
12-13 , PLN/MWh , 184.18 , MWh , 3 963.40 , 
13-14 , PLN/MWh , 178.25 , MWh , 3 760.70 , 
14-15 , PLN/MWh , 155.34 , MWh , 3 379.60 , 
15-16 , PLN/MWh , 143.39 , MWh , 3 082.70 , 
16-17 , PLN/MWh , 141.75 , MWh , 3 030.20 , 
17-18 , PLN/MWh , 138.35 , MWh , 2 849.50 , 
18-19 , PLN/MWh , 138.35 , MWh , 2 720.30 , 
19-20 , PLN/MWh , 147.07 , MWh , 3 291.30 , 
20-21 , PLN/MWh , 154.45 , MWh , 3 385.00 , 
21-22 , PLN/MWh , 160.40 , MWh , 3 488.50 , 
22-23 , PLN/MWh , 143.28 , MWh , 3 406.60 , 
23-24 , PLN/MWh , 131.23 , MWh , 2 983.30 , 
0-1 , PLN/MWh , 127.76 , MWh , 1 561.70 , 
1-2 , PLN/MWh , 114.89 , MWh , 1 830.50 , 
2-3 , PLN/MWh , 111.03 , MWh , 1 663.20 , 
3-4 , PLN/MWh , 107.58 , MWh , 1 710.80 , 
4-5 , PLN/MWh , 105.64 , MWh , 1 897.40 , 
5-6 , PLN/MWh , 104.76 , MWh , 1 775.80 , 
6-7 , PLN/MWh , 106.92 , MWh , 1 795.00 , 
7-8 , PLN/MWh , 125.37 , MWh , 1 656.40 , 
8-9 , PLN/MWh , 128.53 , MWh , 1 914.90 , 
9-10 , PLN/MWh , 127.49 , MWh , 2 285.80 , 
10-11 , PLN/MWh , 129.02 , MWh , 2 298.40 , 
11-12 , PLN/MWh , 128.79 , MWh , 2 336.90 , 
12-13 , PLN/MWh , 129.98 , MWh , 2 272.30 , 
13-14 , PLN/MWh , 127.50 , MWh , 2 230.40 , 
14-15 , PLN/MWh , 126.06 , MWh , 2 256.10 , 
15-16 , PLN/MWh , 123.35 , MWh , 2 273.60 , 
16-17 , PLN/MWh , 115.30 , MWh , 2 373.00 , 
17-18 , PLN/MWh , 123.36 , MWh , 2 339.30 , 
18-19 , PLN/MWh , 123.92 , MWh , 2 197.10 , 
19-20 , PLN/MWh , 132.05 , MWh , 2 423.50 , 
20-21 , PLN/MWh , 142.84 , MWh , 2 776.00 , 
21-22 , PLN/MWh , 144.93 , MWh , 3 193.80 , 
22-23 , PLN/MWh , 136.39 , MWh , 3 055.00 , 
23-24 , PLN/MWh , 128.52 , MWh , 2 883.10 , 
0-1 , PLN/MWh , 130.31 , MWh , 1 917.90 , 
1-2 , PLN/MWh , 123.52 , MWh , 1 942.10 , 
2-3 , PLN/MWh , 123.85 , MWh , 2 025.40 , 
3-4 , PLN/MWh , 127.62 , MWh , 2 053.10 , 
4-5 , PLN/MWh , 125.16 , MWh , 2 080.40 , 
5-6 , PLN/MWh , 133.95 , MWh , 1 912.80 , 
6-7 , PLN/MWh , 154.34 , MWh , 2 475.10 , 
7-8 , PLN/MWh , 176.00 , MWh , 2 193.20 , 
8-9 , PLN/MWh , 194.21 , MWh , 2 742.30 , 
9-10 , PLN/MWh , 205.51 , MWh , 2 894.90 , 
10-11 , PLN/MWh , 203.86 , MWh , 2 898.80 , 
11-12 , PLN/MWh , 205.73 , MWh , 2 824.40 , 
12-13 , PLN/MWh , 201.78 , MWh , 2 720.40 , 
13-14 , PLN/MWh , 202.65 , MWh , 2 715.40 , 
14-15 , PLN/MWh , 189.45 , MWh , 2 938.10 , 
15-16 , PLN/MWh , 176.56 , MWh , 2 877.90 , 
16-17 , PLN/MWh , 175.72 , MWh , 2 890.80 , 
17-18 , PLN/MWh , 175.77 , MWh , 2 863.20 , 
18-19 , PLN/MWh , 173.30 , MWh , 2 639.80 , 
19-20 , PLN/MWh , 175.09 , MWh , 2 576.70 , 
20-21 , PLN/MWh , 175.46 , MWh , 2 752.60 , 
21-22 , PLN/MWh , 175.89 , MWh , 2 844.90 , 
22-23 , PLN/MWh , 148.74 , MWh , 3 039.80 , 
23-24 , PLN/MWh , 139.49 , MWh , 3 241.90 , 
0-1 , PLN/MWh , 137.39 , MWh , 1 644.30 , 
1-2 , PLN/MWh , 133.29 , MWh , 1 499.70 , 
2-3 , PLN/MWh , 133.18 , MWh , 1 483.50 , 
3-4 , PLN/MWh , 133.08 , MWh , 1 466.80 , 
4-5 , PLN/MWh , 133.03 , MWh , 1 353.80 , 
5-6 , PLN/MWh , 133.24 , MWh , 1 424.50 , 
6-7 , PLN/MWh , 148.68 , MWh , 2 520.10 , 
7-8 , PLN/MWh , 176.34 , MWh , 2 277.60 , 
8-9 , PLN/MWh , 205.03 , MWh , 2 832.00 , 
9-10 , PLN/MWh , 207.30 , MWh , 2 889.40 , 
10-11 , PLN/MWh , 207.08 , MWh , 3 017.00 , 
11-12 , PLN/MWh , 207.69 , MWh , 2 887.80 , 
12-13 , PLN/MWh , 224.65 , MWh , 3 025.30 , 
13-14 , PLN/MWh , 211.05 , MWh , 2 948.60 , 
14-15 , PLN/MWh , 199.68 , MWh , 2 765.20 , 
15-16 , PLN/MWh , 184.56 , MWh , 2 726.30 , 
16-17 , PLN/MWh , 182.82 , MWh , 2 794.40 , 
17-18 , PLN/MWh , 183.36 , MWh , 2 516.30 , 
18-19 , PLN/MWh , 178.99 , MWh , 2 260.60 , 
19-20 , PLN/MWh , 182.85 , MWh , 2 473.40 , 
20-21 , PLN/MWh , 181.73 , MWh , 2 883.50 , 
21-22 , PLN/MWh , 182.87 , MWh , 3 135.50 , 
22-23 , PLN/MWh , 147.36 , MWh , 3 103.80 , 
23-24 , PLN/MWh , 136.48 , MWh , 3 270.90 , 
0-1 , PLN/MWh , 143.44 , MWh , 2 021.60 , 
1-2 , PLN/MWh , 136.51 , MWh , 2 077.00 , 
2-3 , PLN/MWh , 135.66 , MWh , 1 968.00 , 
3-4 , PLN/MWh , 135.67 , MWh , 1 922.20 , 
4-5 , PLN/MWh , 133.73 , MWh , 1 952.00 , 
5-6 , PLN/MWh , 135.55 , MWh , 2 017.90 , 
6-7 , PLN/MWh , 150.97 , MWh , 2 707.40 , 
7-8 , PLN/MWh , 178.21 , MWh , 2 687.70 , 
8-9 , PLN/MWh , 198.00 , MWh , 2 655.80 , 
9-10 , PLN/MWh , 197.40 , MWh , 2 596.90 , 
10-11 , PLN/MWh , 195.11 , MWh , 2 605.10 , 
11-12 , PLN/MWh , 197.79 , MWh , 2 609.10 , 
12-13 , PLN/MWh , 204.07 , MWh , 2 721.10 , 
13-14 , PLN/MWh , 191.96 , MWh , 2 634.80 , 
14-15 , PLN/MWh , 173.48 , MWh , 2 913.50 , 
15-16 , PLN/MWh , 174.43 , MWh , 2 563.40 , 
16-17 , PLN/MWh , 167.48 , MWh , 2 808.20 , 
17-18 , PLN/MWh , 164.82 , MWh , 2 843.30 , 
18-19 , PLN/MWh , 166.39 , MWh , 2 476.40 , 
19-20 , PLN/MWh , 169.03 , MWh , 2 424.40 , 
20-21 , PLN/MWh , 175.54 , MWh , 2 514.40 , 
21-22 , PLN/MWh , 172.22 , MWh , 2 854.30 , 
22-23 , PLN/MWh , 148.56 , MWh , 3 327.30 , 
23-24 , PLN/MWh , 136.54 , MWh , 3 100.10 , 
0-1 , PLN/MWh , 134.13 , MWh , 1 590.10 , 
1-2 , PLN/MWh , 131.37 , MWh , 1 628.40 , 
2-3 , PLN/MWh , 131.04 , MWh , 1 656.10 , 
3-4 , PLN/MWh , 129.94 , MWh , 1 633.30 , 
4-5 , PLN/MWh , 130.13 , MWh , 1 522.50 , 
5-6 , PLN/MWh , 131.65 , MWh , 1 637.00 , 
6-7 , PLN/MWh , 148.32 , MWh , 2 122.70 , 
7-8 , PLN/MWh , 172.75 , MWh , 2 118.90 , 
8-9 , PLN/MWh , 180.58 , MWh , 2 702.60 , 
9-10 , PLN/MWh , 185.99 , MWh , 2 834.70 , 
10-11 , PLN/MWh , 186.30 , MWh , 2 969.80 , 
11-12 , PLN/MWh , 191.15 , MWh , 2 932.70 , 
12-13 , PLN/MWh , 193.48 , MWh , 3 009.90 , 
13-14 , PLN/MWh , 186.48 , MWh , 2 828.80 , 
14-15 , PLN/MWh , 174.30 , MWh , 2 624.60 , 
15-16 , PLN/MWh , 169.35 , MWh , 2 518.70 , 
16-17 , PLN/MWh , 169.00 , MWh , 2 428.50 , 
17-18 , PLN/MWh , 169.25 , MWh , 2 503.70 , 
18-19 , PLN/MWh , 170.84 , MWh , 2 479.00 , 
19-20 , PLN/MWh , 169.97 , MWh , 2 607.50 , 
20-21 , PLN/MWh , 171.26 , MWh , 2 684.30 , 
21-22 , PLN/MWh , 169.27 , MWh , 2 842.50 , 
22-23 , PLN/MWh , 147.00 , MWh , 3 300.80 , 
23-24 , PLN/MWh , 137.47 , MWh , 2 893.80 , 
0-1 , PLN/MWh , 137.86 , MWh , 2 166.30 , 
1-2 , PLN/MWh , 137.10 , MWh , 1 896.90 , 
2-3 , PLN/MWh , 134.68 , MWh , 1 939.40 , 
3-4 , PLN/MWh , 134.74 , MWh , 1 919.40 , 
4-5 , PLN/MWh , 134.06 , MWh , 1 944.10 , 
5-6 , PLN/MWh , 135.68 , MWh , 1 888.30 , 
6-7 , PLN/MWh , 150.56 , MWh , 2 555.90 , 
7-8 , PLN/MWh , 170.97 , MWh , 2 130.60 , 
8-9 , PLN/MWh , 188.19 , MWh , 2 617.50 , 
9-10 , PLN/MWh , 195.95 , MWh , 2 934.60 , 
10-11 , PLN/MWh , 195.27 , MWh , 2 889.30 , 
11-12 , PLN/MWh , 199.81 , MWh , 3 118.70 , 
12-13 , PLN/MWh , 197.91 , MWh , 2 968.60 , 
13-14 , PLN/MWh , 195.81 , MWh , 2 822.50 , 
14-15 , PLN/MWh , 183.14 , MWh , 2 568.60 , 
15-16 , PLN/MWh , 171.12 , MWh , 2 382.70 , 
16-17 , PLN/MWh , 167.36 , MWh , 2 487.90 , 
17-18 , PLN/MWh , 166.17 , MWh , 2 467.60 , 
18-19 , PLN/MWh , 170.81 , MWh , 2 312.80 , 
19-20 , PLN/MWh , 170.32 , MWh , 2 342.90 , 
20-21 , PLN/MWh , 166.29 , MWh , 2 585.30 , 
21-22 , PLN/MWh , 165.89 , MWh , 2 462.50 , 
22-23 , PLN/MWh , 148.85 , MWh , 3 594.20 , 
23-24 , PLN/MWh , 141.40 , MWh , 3 144.60 , 
0-1 , PLN/MWh , 141.61 , MWh , 1 759.60 , 
1-2 , PLN/MWh , 135.29 , MWh , 1 838.60 , 
2-3 , PLN/MWh , 134.78 , MWh , 1 882.50 , 
3-4 , PLN/MWh , 133.22 , MWh , 1 824.30 , 
4-5 , PLN/MWh , 132.25 , MWh , 1 689.40 , 
5-6 , PLN/MWh , 132.02 , MWh , 1 859.90 , 
6-7 , PLN/MWh , 141.06 , MWh , 2 552.40 , 
7-8 , PLN/MWh , 150.21 , MWh , 3 107.20 , 
8-9 , PLN/MWh , 164.97 , MWh , 4 047.90 , 
9-10 , PLN/MWh , 182.56 , MWh , 4 278.90 , 
10-11 , PLN/MWh , 188.14 , MWh , 4 562.80 , 
11-12 , PLN/MWh , 193.84 , MWh , 4 522.80 , 
12-13 , PLN/MWh , 193.00 , MWh , 4 409.60 , 
13-14 , PLN/MWh , 184.39 , MWh , 4 233.20 , 
14-15 , PLN/MWh , 157.65 , MWh , 3 893.10 , 
15-16 , PLN/MWh , 149.99 , MWh , 3 646.70 , 
16-17 , PLN/MWh , 149.33 , MWh , 4 019.10 , 
17-18 , PLN/MWh , 148.25 , MWh , 3 887.00 , 
18-19 , PLN/MWh , 148.30 , MWh , 3 755.50 , 
19-20 , PLN/MWh , 146.49 , MWh , 3 591.00 , 
20-21 , PLN/MWh , 145.97 , MWh , 3 377.50 , 
21-22 , PLN/MWh , 146.07 , MWh , 3 605.30 , 
22-23 , PLN/MWh , 137.60 , MWh , 3 309.30 , 
23-24 , PLN/MWh , 130.45 , MWh , 2 998.10 , 
0-1 , PLN/MWh , 130.12 , MWh , 1 635.00 , 
1-2 , PLN/MWh , 127.35 , MWh , 1 908.20 , 
2-3 , PLN/MWh , 112.95 , MWh , 1 973.30 , 
3-4 , PLN/MWh , 111.26 , MWh , 1 993.50 , 
4-5 , PLN/MWh , 108.30 , MWh , 2 029.20 , 
5-6 , PLN/MWh , 106.80 , MWh , 1 959.50 , 
6-7 , PLN/MWh , 113.19 , MWh , 2 001.90 , 
7-8 , PLN/MWh , 130.60 , MWh , 2 007.30 , 
8-9 , PLN/MWh , 133.23 , MWh , 1 995.00 , 
9-10 , PLN/MWh , 139.38 , MWh , 2 477.20 , 
10-11 , PLN/MWh , 139.16 , MWh , 2 913.80 , 
11-12 , PLN/MWh , 139.25 , MWh , 2 905.30 , 
12-13 , PLN/MWh , 138.88 , MWh , 2 634.30 , 
13-14 , PLN/MWh , 136.94 , MWh , 2 676.80 , 
14-15 , PLN/MWh , 130.76 , MWh , 2 524.10 , 
15-16 , PLN/MWh , 128.53 , MWh , 2 579.10 , 
16-17 , PLN/MWh , 127.55 , MWh , 2 665.30 , 
17-18 , PLN/MWh , 127.93 , MWh , 2 680.40 , 
18-19 , PLN/MWh , 126.86 , MWh , 2 593.20 , 
19-20 , PLN/MWh , 134.88 , MWh , 2 786.90 , 
20-21 , PLN/MWh , 136.12 , MWh , 2 597.50 , 
21-22 , PLN/MWh , 136.09 , MWh , 2 731.40 , 
22-23 , PLN/MWh , 130.45 , MWh , 2 876.20 , 
23-24 , PLN/MWh , 121.61 , MWh , 3 284.90 , 
0-1 , PLN/MWh , 122.26 , MWh , 2 430.70 , 
1-2 , PLN/MWh , 114.07 , MWh , 2 566.60 , 
2-3 , PLN/MWh , 113.44 , MWh , 2 639.10 , 
3-4 , PLN/MWh , 114.80 , MWh , 2 655.60 , 
4-5 , PLN/MWh , 114.15 , MWh , 2 610.40 , 
5-6 , PLN/MWh , 125.83 , MWh , 2 198.10 , 
6-7 , PLN/MWh , 148.87 , MWh , 2 106.00 , 
7-8 , PLN/MWh , 172.50 , MWh , 1 548.40 , 
8-9 , PLN/MWh , 179.77 , MWh , 2 024.70 , 
9-10 , PLN/MWh , 187.43 , MWh , 2 299.10 , 
10-11 , PLN/MWh , 188.13 , MWh , 2 546.20 , 
11-12 , PLN/MWh , 189.19 , MWh , 2 686.90 , 
12-13 , PLN/MWh , 195.68 , MWh , 2 685.80 , 
13-14 , PLN/MWh , 199.19 , MWh , 2 624.50 , 
14-15 , PLN/MWh , 181.13 , MWh , 2 690.70 , 
15-16 , PLN/MWh , 175.16 , MWh , 2 571.10 , 
16-17 , PLN/MWh , 175.00 , MWh , 2 418.50 , 
17-18 , PLN/MWh , 176.06 , MWh , 2 370.30 , 
18-19 , PLN/MWh , 178.61 , MWh , 2 103.90 , 
19-20 , PLN/MWh , 178.81 , MWh , 2 368.20 , 
20-21 , PLN/MWh , 179.10 , MWh , 2 675.20 , 
21-22 , PLN/MWh , 178.28 , MWh , 2 779.30 , 
22-23 , PLN/MWh , 149.55 , MWh , 3 397.20 , 
23-24 , PLN/MWh , 147.28 , MWh , 3 333.80 , 
0-1 , PLN/MWh , 138.77 , MWh , 2 241.10 , 
1-2 , PLN/MWh , 137.31 , MWh , 1 881.90 , 
2-3 , PLN/MWh , 134.16 , MWh , 1 915.30 , 
3-4 , PLN/MWh , 134.34 , MWh , 1 854.50 , 
4-5 , PLN/MWh , 134.05 , MWh , 1 948.10 , 
5-6 , PLN/MWh , 137.14 , MWh , 1 853.80 , 
6-7 , PLN/MWh , 154.45 , MWh , 2 237.00 , 
7-8 , PLN/MWh , 190.75 , MWh , 2 428.50 , 
8-9 , PLN/MWh , 208.91 , MWh , 2 900.00 , 
9-10 , PLN/MWh , 205.93 , MWh , 3 096.70 , 
10-11 , PLN/MWh , 207.23 , MWh , 3 275.90 , 
11-12 , PLN/MWh , 230.67 , MWh , 3 235.00 , 
12-13 , PLN/MWh , 230.51 , MWh , 3 233.00 , 
13-14 , PLN/MWh , 227.69 , MWh , 3 164.40 , 
14-15 , PLN/MWh , 202.53 , MWh , 3 172.50 , 
15-16 , PLN/MWh , 186.36 , MWh , 3 085.70 , 
16-17 , PLN/MWh , 185.82 , MWh , 2 814.70 , 
17-18 , PLN/MWh , 172.47 , MWh , 2 592.70 , 
18-19 , PLN/MWh , 172.31 , MWh , 2 106.50 , 
19-20 , PLN/MWh , 172.96 , MWh , 2 288.90 , 
20-21 , PLN/MWh , 166.03 , MWh , 2 814.30 , 
21-22 , PLN/MWh , 165.58 , MWh , 3 025.30 , 
22-23 , PLN/MWh , 147.41 , MWh , 3 257.80 , 
23-24 , PLN/MWh , 132.09 , MWh , 2 921.60 , 
0-1 , PLN/MWh , 132.88 , MWh , 1 953.90 , 
1-2 , PLN/MWh , 126.76 , MWh , 1 824.20 , 
2-3 , PLN/MWh , 116.26 , MWh , 1 913.40 , 
3-4 , PLN/MWh , 114.86 , MWh , 2 058.10 , 
4-5 , PLN/MWh , 114.39 , MWh , 2 025.10 , 
5-6 , PLN/MWh , 119.94 , MWh , 1 893.20 , 
6-7 , PLN/MWh , 142.79 , MWh , 2 342.80 , 
7-8 , PLN/MWh , 160.92 , MWh , 2 069.60 , 
8-9 , PLN/MWh , 163.11 , MWh , 2 229.40 , 
9-10 , PLN/MWh , 161.96 , MWh , 2 273.80 , 
10-11 , PLN/MWh , 157.40 , MWh , 2 360.30 , 
11-12 , PLN/MWh , 155.89 , MWh , 2 546.00 , 
12-13 , PLN/MWh , 152.46 , MWh , 2 680.50 , 
13-14 , PLN/MWh , 152.70 , MWh , 2 691.50 , 
14-15 , PLN/MWh , 141.67 , MWh , 2 971.70 , 
15-16 , PLN/MWh , 137.90 , MWh , 2 957.60 , 
16-17 , PLN/MWh , 132.37 , MWh , 3 038.70 , 
17-18 , PLN/MWh , 135.88 , MWh , 3 009.00 , 
18-19 , PLN/MWh , 149.38 , MWh , 2 812.40 , 
19-20 , PLN/MWh , 157.12 , MWh , 2 715.40 , 
20-21 , PLN/MWh , 155.18 , MWh , 2 585.00 , 
21-22 , PLN/MWh , 152.26 , MWh , 2 853.20 , 
22-23 , PLN/MWh , 141.93 , MWh , 3 784.60 , 
23-24 , PLN/MWh , 130.82 , MWh , 3 282.60 , 
0-1 , PLN/MWh , 130.13 , MWh , 1 494.50 , 
1-2 , PLN/MWh , 114.35 , MWh , 1 695.70 , 
2-3 , PLN/MWh , 110.77 , MWh , 1 822.00 , 
3-4 , PLN/MWh , 110.41 , MWh , 1 747.40 , 
4-5 , PLN/MWh , 108.26 , MWh , 1 766.20 , 
5-6 , PLN/MWh , 110.92 , MWh , 1 821.90 , 
6-7 , PLN/MWh , 137.38 , MWh , 1 753.70 , 
7-8 , PLN/MWh , 153.05 , MWh , 2 145.50 , 
8-9 , PLN/MWh , 164.99 , MWh , 2 109.90 , 
9-10 , PLN/MWh , 159.49 , MWh , 2 280.50 , 
10-11 , PLN/MWh , 158.55 , MWh , 2 541.00 , 
11-12 , PLN/MWh , 159.95 , MWh , 2 661.30 , 
12-13 , PLN/MWh , 161.04 , MWh , 2 641.30 , 
13-14 , PLN/MWh , 163.28 , MWh , 2 321.70 , 
14-15 , PLN/MWh , 157.96 , MWh , 2 385.00 , 
15-16 , PLN/MWh , 156.48 , MWh , 2 601.50 , 
16-17 , PLN/MWh , 153.33 , MWh , 2 680.80 , 
17-18 , PLN/MWh , 156.49 , MWh , 2 358.30 , 
18-19 , PLN/MWh , 162.55 , MWh , 2 194.90 , 
19-20 , PLN/MWh , 174.73 , MWh , 2 431.90 , 
20-21 , PLN/MWh , 177.31 , MWh , 2 410.40 , 
21-22 , PLN/MWh , 177.21 , MWh , 2 413.00 , 
22-23 , PLN/MWh , 151.20 , MWh , 3 399.10 , 
23-24 , PLN/MWh , 140.90 , MWh , 3 039.30 , 
0-1 , PLN/MWh , 134.57 , MWh , 3 205.00 , 
1-2 , PLN/MWh , 129.34 , MWh , 2 584.70 , 
2-3 , PLN/MWh , 127.74 , MWh , 2 399.50 , 
3-4 , PLN/MWh , 128.39 , MWh , 2 354.80 , 
4-5 , PLN/MWh , 127.20 , MWh , 2 103.90 , 
5-6 , PLN/MWh , 130.97 , MWh , 2 426.60 , 
6-7 , PLN/MWh , 148.10 , MWh , 2 550.80 , 
7-8 , PLN/MWh , 175.03 , MWh , 2 075.70 , 
8-9 , PLN/MWh , 188.48 , MWh , 2 574.40 , 
9-10 , PLN/MWh , 189.68 , MWh , 2 726.90 , 
10-11 , PLN/MWh , 194.18 , MWh , 2 679.80 , 
11-12 , PLN/MWh , 200.86 , MWh , 2 812.50 , 
12-13 , PLN/MWh , 201.50 , MWh , 2 888.90 , 
13-14 , PLN/MWh , 197.81 , MWh , 2 890.90 , 
14-15 , PLN/MWh , 186.77 , MWh , 2 660.50 , 
15-16 , PLN/MWh , 177.58 , MWh , 2 658.90 , 
16-17 , PLN/MWh , 176.46 , MWh , 2 666.90 , 
17-18 , PLN/MWh , 171.12 , MWh , 2 634.10 , 
18-19 , PLN/MWh , 177.62 , MWh , 2 511.30 , 
19-20 , PLN/MWh , 180.37 , MWh , 2 136.90 , 
20-21 , PLN/MWh , 175.40 , MWh , 2 455.20 , 
21-22 , PLN/MWh , 171.67 , MWh , 2 522.80 , 
22-23 , PLN/MWh , 162.05 , MWh , 3 675.60 , 
23-24 , PLN/MWh , 147.55 , MWh , 3 773.80 , 
0-1 , PLN/MWh , 136.85 , MWh , 2 749.10 , 
1-2 , PLN/MWh , 134.81 , MWh , 2 730.80 , 
2-3 , PLN/MWh , 130.96 , MWh , 3 112.00 , 
3-4 , PLN/MWh , 128.19 , MWh , 3 210.80 , 
4-5 , PLN/MWh , 131.99 , MWh , 2 905.20 , 
5-6 , PLN/MWh , 133.78 , MWh , 2 910.10 , 
6-7 , PLN/MWh , 141.30 , MWh , 2 234.20 , 
7-8 , PLN/MWh , 163.05 , MWh , 2 634.70 , 
8-9 , PLN/MWh , 240.60 , MWh , 3 656.80 , 
9-10 , PLN/MWh , 351.35 , MWh , 3 682.80 , 
10-11 , PLN/MWh , 351.69 , MWh , 3 714.30 , 
11-12 , PLN/MWh , 363.89 , MWh , 3 674.50 , 
12-13 , PLN/MWh , 357.43 , MWh , 3 696.00 , 
13-14 , PLN/MWh , 311.09 , MWh , 3 661.40 , 
14-15 , PLN/MWh , 228.12 , MWh , 3 613.70 , 
15-16 , PLN/MWh , 183.89 , MWh , 3 220.60 , 
16-17 , PLN/MWh , 173.41 , MWh , 3 013.70 , 
17-18 , PLN/MWh , 158.66 , MWh , 2 842.80 , 
18-19 , PLN/MWh , 154.37 , MWh , 2 742.40 , 
19-20 , PLN/MWh , 155.68 , MWh , 2 561.90 , 
20-21 , PLN/MWh , 154.86 , MWh , 2 519.40 , 
21-22 , PLN/MWh , 153.82 , MWh , 2 399.80 , 
22-23 , PLN/MWh , 148.02 , MWh , 2 747.20 , 
23-24 , PLN/MWh , 135.73 , MWh , 2 556.30 , 
0-1 , PLN/MWh , 127.82 , MWh , 2 193.30 , 
1-2 , PLN/MWh , 117.04 , MWh , 2 292.80 , 
2-3 , PLN/MWh , 110.35 , MWh , 2 301.60 , 
3-4 , PLN/MWh , 110.15 , MWh , 2 194.60 , 
4-5 , PLN/MWh , 107.48 , MWh , 2 524.00 , 
5-6 , PLN/MWh , 108.08 , MWh , 2 336.30 , 
6-7 , PLN/MWh , 111.70 , MWh , 2 103.00 , 
7-8 , PLN/MWh , 130.78 , MWh , 2 352.20 , 
8-9 , PLN/MWh , 133.84 , MWh , 2 013.90 , 
9-10 , PLN/MWh , 148.47 , MWh , 2 148.40 , 
10-11 , PLN/MWh , 150.71 , MWh , 2 120.90 , 
11-12 , PLN/MWh , 149.52 , MWh , 2 121.80 , 
12-13 , PLN/MWh , 148.55 , MWh , 2 078.20 , 
